gold_diff,win_probability,checkpoint
3585.637988313856,0.9413083504834809,10 min
3600.4853505843066,0.9419401139770864,10 min
3615.332712854757,0.942565492841299,10 min
3630.1800751252085,0.9431845426848615,10 min
3645.027437395659,0.9437973188243307,10 min
3659.8747996661095,0.9444038762811744,10 min
3674.722161936561,0.945004269778996,10 min
3689.5695242070115,0.9455985537408869,10 min
3704.416886477462,0.9461867822869038,10 min
3719.2642487479125,0.9467690092316676,10 min
3734.111611018364,0.9473452880820827,10 min
3748.9589732888144,0.9479156720351728,10 min
3763.806335559266,0.9484802139760335,10 min
3778.6536978297154,0.9490389664758971,10 min
3793.501060100167,0.9495919817903072,10 min
3808.3484223706164,0.9501393118574035,10 min
3823.195784641068,0.9506810082963109,10 min
3838.043146911519,0.951217122405634,10 min
3852.890509181969,0.9517477051620533,10 min
3867.73787145242,0.9522728072190196,10 min
3882.5852337228716,0.9527924789055482,10 min
3897.4325959933212,0.9533067702251052,10 min
3912.2799582637726,0.9538157308545917,10 min
3927.127320534224,0.9543194101434145,10 min
3941.9746828046736,0.9548178571126491,10 min
3956.822045075125,0.9553111204542885,10 min
3971.6694073455747,0.9557992485305773,10 min
3986.516769616026,0.9562822893734302,10 min
4001.3641318864775,0.956760290683929,10 min
4016.211494156927,0.9572332998319022,10 min
4031.0588564273785,0.9577013638555802,10 min
4045.90621869783,0.9581645294613257,10 min
4060.7535809682795,0.9586228430234388,10 min
4075.600943238731,0.9590763505840343,10 min
4090.4483055091823,0.9595250978529877,10 min
4105.295667779632,0.9599691302079507,10 min
4120.143030050083,0.9604084926944332,10 min
4134.990392320533,0.9608432300259497,10 min
4149.837754590984,0.9612733865842291,10 min
4164.685116861436,0.9616990064194862,10 min
4179.532479131885,0.9621201332507532,10 min
4194.379841402337,0.9625368104662695,10 min
4209.227203672788,0.9629490811239272,10 min
4224.074565943238,0.9633569879517729,10 min
4238.921928213689,0.9637605733485637,10 min
4253.769290484141,0.9641598793843731,10 min
4268.61665275459,0.9645549478012491,10 min
4283.464015025042,0.9649458200139216,10 min
4298.311377295491,0.9653325371105566,10 min
4313.158739565943,0.9657151398535571,10 min
4328.006101836394,0.9660936686804089,10 min
4342.853464106844,0.9664681637045704,10 min
4357.700826377295,0.9668386647164037,10 min
4372.548188647746,0.9672052111841469,10 min
4387.395550918196,0.9675678422549271,10 min
4402.242913188647,0.9679265967558095,10 min
4417.090275459099,0.9682815131948856,10 min
4431.937637729548,0.9686326297623968,10 min
4446.785,0.9689799843318916,10 min
-9009.71,0.008836812781999201,15 min
-8979.627495826377,0.00897592013929703,15 min
-8949.544991652754,0.009117197152922193,15 min
-8919.462487479132,0.009260677024014966,15 min
-8889.379983305509,0.00940639344151176,15 min
-8859.297479131885,0.00955438058866615,15 min
-8829.214974958262,0.009704673149635959,15 min
-8799.13247078464,0.009857306316136662,15 min
-8769.049966611017,0.010012315794160669,15 min
-8738.967462437395,0.010169737810762566,15 min
-8708.884958263772,0.010329609120910124,15 min
-8678.80245409015,0.010491967014400892,15 min
-8648.719949916527,0.010656849322844057,15 min
-8618.637445742905,0.010824294426707372,15 min
-8588.554941569282,0.010994341262428908,15 min
-8558.472437395658,0.01116702932959307,15 min
-8528.389933222035,0.011342398698170691,15 min
-8498.307429048413,0.011520490015822695,15 min
-8468.22492487479,0.011701344515266696,15 min
-8438.142420701168,0.011885004021706225,15 min
-8408.059916527545,0.01207151096032186,15 min
-8377.977412353923,0.012260908363823592,15 min
-8347.8949081803,0.012453239880063808,15 min
